scrape_date,scrape_timestamp,category,product_id,brand,price,mrp,availability,product_url,image_url,rating,discount,main_category,sub_category,ram,storage,display_inch,processor
2026-02-11,2026-02-11 09:11:06,laptops,232012,Dell,59999,66999,Available,https://www.vijaysales.com/p/232012/store-display-unit-dell-inspiron-3530-thin-and-light-laptop-13th-gen-intel-core-i5-16gb-ram-512gb-ssd-156-inch-intel-uhd-graphics-win-11-office-oin353034071rins1m,https://vsprod.vijaysales.com/media/catalog/product/2/3/232012-image.jpg,4,10.45,Computers and Laptops,Laptops,16.0,512.0,15.6,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,232011,Dell,68499,69990,Available,https://www.vijaysales.com/p/232011/dell-inspiron-14-laptop-core-3-processor-8gb-ram-512gb-ssd-14-inch-35-56-cm-touchscreen-intel-graphics-win-11-ms-office,https://vsprod.vijaysales.com/media/catalog/product/2/3/232011-image.jpg,5,2.13,Computers and Laptops,Laptops,8.0,512.0,14.0,Apple M3
2026-02-11,2026-02-11 09:11:06,laptops,231566,Asus,37990,57990,Unavailable,https://www.vijaysales.com/p/231566/asus-vivobook-15-13th-gen-core-i3-8gb-ram-512gb-ssd-15-6-inch-39-62-cm-intel-uhd-graphics-win-11-ms-office-x1504va-nj320ws,https://vsprod.vijaysales.com/media/catalog/product/2/3/235166n.jpg,5,34.49,Computers and Laptops,Laptops,8.0,512.0,15.6,Ryzen 7
2026-02-11,2026-02-11 09:11:06,laptops,231498,Dell,116499,119990,Available,https://www.vijaysales.com/p/231498/dell-inspiron-14-plus-laptop-with-snapdragon-x-plus-16gb-ram-512gb-ssd-qualcomm-adreno-gpu-14-inch-35-56-cm-qhd-plus-ips-display-ice-blue,https://vsprod.vijaysales.com/media/catalog/product/2/3/231498_2_.jpg,5,2.91,Computers and Laptops,Laptops,16.0,512.0,14.0,Snapdragon X
2026-02-11,2026-02-11 09:11:06,laptops,231497,Dell,42999,45000,Unavailable,https://www.vijaysales.com/p/231497/store-display-unit-dell-inspiron-15-laptop-amd-ryzen-5-7520u-8-gb-ram-512-gb-ssd-156-inch-fhd-3962cm-display-ideal-for-students-perfect-for-learning-and-productivity-carbon-black,https://vsprod.vijaysales.com/media/catalog/product/2/3/231497-image.jpg,4,4.45,Computers and Laptops,Laptops,8.0,512.0,15.6,Ryzen 5
2026-02-11,2026-02-11 09:11:06,laptops,231166,HP,62990,81800,Unavailable,https://www.vijaysales.com/p/231166/hp-laptop-14-ai-laptop-intel-core-ultra-5-125h-16gb-ram-512gb-ssd-14-inch-35-6-cm-intel-arc-graphics-backlit-kb-win-11-silver-gr1022tu,https://vsprod.vijaysales.com/media/catalog/product/2/3/231166_2_.jpg,5,23.0,Computers and Laptops,Laptops,16.0,512.0,14.0,Apple M4
2026-02-11,2026-02-11 09:11:06,laptops,231092,Microsoft,189990,194999,Unavailable,https://www.vijaysales.com/p/231092/microsoft-surface-pro-laptop-11-snapdragon-x-elite-12-core-16gb-ram-1tb-ssd-13-inch-33-02-cm-qualcomm-adreno-graphics-win-11-zib-00031,https://vsprod.vijaysales.com/media/catalog/product/2/3/231092.jpg,5,2.57,Computers and Laptops,2 in 1 Laptops,16.0,512.0,13.0,Snapdragon X
2026-02-11,2026-02-11 09:11:06,laptops,231091,Microsoft,169990,173999,Unavailable,https://www.vijaysales.com/p/231091/microsoft-surface-pro-laptop-11-snapdragon-x-elite-12-core-16gb-ram-512gb-ssd-13-inch-33-02-cm-qualcomm-adreno-graphics-win-11-zia-00031,https://vsprod.vijaysales.com/media/catalog/product/2/3/231092_1.jpg,5,2.3,Computers and Laptops,2 in 1 Laptops,16.0,512.0,13.0,Snapdragon X
2026-02-11,2026-02-11 09:11:06,laptops,231090,Microsoft,161990,173999,Available,https://www.vijaysales.com/p/231090/microsoft-surface-pro-laptop-11-snapdragon-x-elite-12-core-16gb-ram-512gb-ssd-13-inch-33-02-cm-qualcomm-adreno-graphics-win-11-zia-00014,https://vsprod.vijaysales.com/media/catalog/product/2/3/231093_1.jpg,5,6.9,Computers and Laptops,2 in 1 Laptops,16.0,512.0,13.0,Snapdragon X
2026-02-11,2026-02-11 09:11:06,laptops,231089,Microsoft,130990,140999,Available,https://www.vijaysales.com/p/231089/microsoft-surface-pro-laptop-11-snapdragon-x-plus-10-core-16gb-ram-512gb-ssd-13-inch-33-02-cm-qualcomm-adreno-graphics-win-11-zhy-00032,https://vsprod.vijaysales.com/media/catalog/product/2/3/231092_2.jpg,4,7.1,Computers and Laptops,2 in 1 Laptops,16.0,512.0,13.0,Snapdragon X
2026-02-11,2026-02-11 09:11:06,laptops,231088,Microsoft,130990,140999,Available,https://www.vijaysales.com/p/231088/microsoft-surface-pro-laptop-11-snapdragon-x-plus-10-core-16gb-ram-512gb-ssd-13-inch-33-02-cm-qualcomm-adreno-graphics-win-11-zhy-00014,https://vsprod.vijaysales.com/media/catalog/product/2/3/231093_2.jpg,4,7.1,Computers and Laptops,2 in 1 Laptops,16.0,512.0,13.0,Snapdragon X
2026-02-11,2026-02-11 09:11:06,laptops,231087,Microsoft,112990,121999,Available,https://www.vijaysales.com/p/231087/microsoft-surface-pro-laptop-11-snapdragon-x-plus-10-core-16gb-ram-256gb-ssd-13-inch-33-02-cm-qualcomm-adreno-graphics-win-11-zhx-00014,https://vsprod.vijaysales.com/media/catalog/product/2/3/231093_3.jpg,4,7.38,Computers and Laptops,2 in 1 Laptops,16.0,256.0,13.0,Snapdragon X
2026-02-11,2026-02-11 09:11:06,laptops,230998,Dell,30000,42000,Unavailable,https://www.vijaysales.com/p/230998/store-display-unit-dell-inspiron-15-laptop-intel-core-i3-12th-gen-8gb-ddr4-ram-512gb-ssd-156-inch-3962-cm-display-intel-uhd-graphics-win-11-ms-office-oin352010021rinb1m3520,https://vsprod.vijaysales.com/media/catalog/product/2/3/230998_3__2.jpg,4,28.57,Computers and Laptops,Laptops,16.0,512.0,15.6,Intel Core i3
2026-02-11,2026-02-11 09:11:06,laptops,230814,HP,70999,89000,Unavailable,https://www.vijaysales.com/p/230814/hp-pavilion-16-laptop-intel-core-ultra-5-processor-16gb-ram-512gb-ssd-40-6-cm-16-diagonal-wuxga-display-1080p-fhd-windows-11-home-natural-silver,https://vsprod.vijaysales.com/media/catalog/product/2/3/230814_13_.jpg,4,20.23,Computers and Laptops,Laptops,16.0,512.0,13.3,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,230559,Dell,53999,65100,Unavailable,https://www.vijaysales.com/p/230559/dell-inspiron-15-laptop-12th-gen-core-i5-8gb-ram-512gb-ssd-15-6-inch-intel-uhd-graphics-win11-full-hd-display-10031rins1m,https://vsprod.vijaysales.com/media/catalog/product/2/3/230559-image.jpg,5,17.05,Computers and Laptops,Laptops,8.0,512.0,15.6,Ryzen 7
2026-02-11,2026-02-11 09:11:06,laptops,230453,Dell,97990,129352,Available,https://www.vijaysales.com/p/230453/dell-inspiron-14-plus-laptop-intel-core-ultra-7-16gb-ram-1tb-ssd-14-inch-35-56-cm-intel-arc-graphics-win-11-ms-office-oin7440220401rinu1,https://vsprod.vijaysales.com/media/catalog/product/3/0/306649_0_pmgimj_4.jpg,4,24.25,Computers and Laptops,Laptops,16.0,512.0,14.0,Ryzen 3
2026-02-11,2026-02-11 09:11:06,laptops,230212,Asus,48990,72990,Unavailable,https://www.vijaysales.com/p/230212/asus-vivobook-16-12th-gen-core-i5-16gb-ram-512gb-ssd-16inch-40-64-cm-intel-iris-xe-graphics-win-11-ms-office-x1605zac-mb540ws,https://vsprod.vijaysales.com/media/catalog/product/2/3/230212n.jpg,5,32.88,Computers and Laptops,Laptops,16.0,512.0,16.0,Ryzen 5
2026-02-11,2026-02-11 09:11:06,laptops,229741,Asus,113990,143990,Unavailable,https://www.vijaysales.com/p/229741/asus-rog-strix-g16-intel-core-i7-16gb-ram-1tb-ssd-16-inch-40-64-cm-fhd-display-6gb-rtx-4050-graphics-windows-11-ms-office-g614ju-n3200w,https://vsprod.vijaysales.com/media/catalog/product/2/2/229741-image1.jpg,5,20.83,Computers and Laptops,Gaming Laptops,16.0,512.0,16.0,Intel Core i7
2026-02-11,2026-02-11 09:11:06,laptops,228908,HP,82000,110000,Unavailable,https://www.vijaysales.com/p/228908/hp-envy-x360-2-in-1-laptop-intel-core-ultra-5-16gb-ram-512gb-ssd-14-inch-35-6-cm-wuxga-display-intel-graphics-windows-11-14-fc0123tu,https://vsprod.vijaysales.com/media/catalog/product/2/2/228908-image1.jpg,4,25.45,Computers and Laptops,Convertible Laptops,16.0,512.0,14.0,Ryzen 5
2026-02-11,2026-02-11 09:11:06,laptops,228905,HP,72990,96000,Unavailable,https://www.vijaysales.com/p/228905/hp-victus-gaming-laptop-13th-gen-core-i5-16gb-ram-512gb-ssd-15-6-inch-39-62-cm-display-8gb-rtx-4050-graphics-win-11-ms-office-15-fa1279tx,https://vsprod.vijaysales.com/media/catalog/product/2/2/228905-image1.jpg,5,23.97,Computers and Laptops,Gaming Laptops,16.0,512.0,15.6,Ryzen 7
2026-02-11,2026-02-11 09:11:06,laptops,227820,Lenovo,51000,91990,Unavailable,https://www.vijaysales.com/p/227820/lenovo-loq-15iax9-gaming-laptop-12th-gen-core-i5-12gb-ram-512gb-ssd-15-6-inch-39-62-cm-4gb-rtx-2050-graphics-win-11-ms-office-83gs008bin,https://vsprod.vijaysales.com/media/catalog/product/2/2/227820-image1_1.jpg,5,44.56,Computers and Laptops,Gaming Laptops,12.0,512.0,15.6,Intel Core i3
2026-02-11,2026-02-11 09:11:06,laptops,227556,Dell,67500,77000,Unavailable,https://www.vijaysales.com/p/227556/dell-inspiron-15-laptop-13th-gen-core-i7-16gb-ram-512gb-ssd-15-6-inch-39-62-cm-intel-iris-xe-graphics-win-11-ms-office-oin353010031rins1m,https://vsprod.vijaysales.com/media/catalog/product/2/2/227556-image1.jpg,5,12.34,Computers and Laptops,Laptops,16.0,512.0,15.6,Intel Core i7
2026-02-11,2026-02-11 09:11:06,laptops,227550,HP,95999,119000,Unavailable,https://www.vijaysales.com/p/227550/hp-envy-x360-2-in-1-laptop-intel-core-ultra-5-16gb-ram-512gb-ssd-14-inch-35-6-cm-oled-display-intel-graphics-windows-11-14-fc0078tu,https://vsprod.vijaysales.com/media/catalog/product/i/m/image_1.jpg,5,19.33,Computers and Laptops,Convertible Laptops,16.0,512.0,14.0,Snapdragon X
2026-02-11,2026-02-11 09:11:06,laptops,227514,Acer,73000,109990,Available,https://www.vijaysales.com/p/227514/acer-swift-go-14-intel-core-ultra-5-16gb-ram-512gb-ssd-14-inch-35-56-cm-oled-display-intel-arc-graphics-windows-11-nx-ksgsi-001,https://vsprod.vijaysales.com/media/catalog/product/2/2/227514-image1_1.jpg,4,33.63,Computers and Laptops,Laptops,16.0,512.0,14.0,Ryzen 5
2026-02-11,2026-02-11 09:11:06,laptops,227333,HP,69999,82900,Available,https://www.vijaysales.com/p/227333/hp-pavilion-plus-laptop-13th-gen-core-i5-16-gb-ram-512-gb-ssd-14-inch-35-56-cm-intel-iris-xe-graphics-win-11-14-ew0116tu,https://vsprod.vijaysales.com/media/catalog/product/2/2/227333-image1_2.jpg,5,15.56,Computers and Laptops,Laptops,16.0,512.0,14.0,Ryzen 5
2026-02-11,2026-02-11 09:11:06,laptops,225704,Acer,44000,67990,Available,https://www.vijaysales.com/p/225704/store-display-unit-acer-aspire-lite-15-52-laptop-12th-gen-core-i5-16gb-ram-512gb-ssd-intel-iris-xe-graphics-windows-11-un431si343,https://vsprod.vijaysales.com/media/catalog/product/2/2/225704-image1_1.jpg,4,35.28,Computers and Laptops,Laptops,16.0,512.0,15.6,Apple M3
