scrape_date,scrape_timestamp,category,product_id,brand,price,mrp,availability,product_url,image_url,rating,discount,main_category,sub_category,capacity_litres,star_rating,model_name
2026-02-03,2026-02-03 12:16:03,refrigerator,240837,Samsung,62990,94990,Available,https://www.vijaysales.com/p/240837/samsung-530-litres-bespoke-ai-frost-free-double-door-inverter-refrigerator-convertible-5-in-1-twin-cooling-plus-wi-fi-embedded-twist-ice-maker-active-fresh-filter-rt56dg7a6asl-real-stainless,https://vsprod.vijaysales.com/media/catalog/product/2/4/240837_1_.jpg,4,33.69,Large Appliances,Double Door,530,1,"RT56DG7A6ASL, Real Stainless"
2026-02-03,2026-02-03 12:16:03,refrigerator,224671,Haier,48990,75890,Unavailable,https://www.vijaysales.com/p/224671/haier-355-litres-3-star-double-door-frost-free-refrigerator-magic-cooling-14-in-1-convertible-triple-inverter-dual-fan-tech-2x-big-box-1-hour-icing-technology-hrb-4053pmg-p-mirror-glass,https://vsprod.vijaysales.com/media/catalog/product/2/2/224671_1__1.jpg,5,35.45,Large Appliances,Double Door,355,3,"HRB-4053PMG-P, Mirror Glass"
2026-02-03,2026-02-03 12:16:03,refrigerator,235900,IFB,14990,22000,Unavailable,https://www.vijaysales.com/p/235900/ifb-187-litres-2-star-direct-cool-refrigerator-with-converti-cool-technology-fast-ice-big-crisper-xl-bottle-bin-humidity-control-ifbdc-2132fkg-carbon-sparkle-glass,https://vsprod.vijaysales.com/media/catalog/product/2/3/235900_1_.jpg,4,31.86,Large Appliances,Single Door,187,2,"IFBDC-2132FKG, Carbon Sparkle Glass"
2026-02-03,2026-02-03 12:16:03,refrigerator,218133,Godrej,25990,37990,Available,https://www.vijaysales.com/p/P217435/218133/godrej-272-litres-2-star-frost-free-double-door-refrigerator-with-cool-balance-technology-rteonvalor310brifsst-fossil-steel,https://vsprod.vijaysales.com/media/catalog/product/r/t/rt_eonvalor_310b_ri_fs_st_1_.jpg,4,31.59,Large Appliances,Double Door,272,2,"RT Eon Valor 310B RI FS ST, Fossil Steel"
2026-02-03,2026-02-03 12:16:03,refrigerator,240008,Samsung,51790,74990,Available,https://www.vijaysales.com/p/240008/samsung-467-litres-2-star-bespoke-ai-double-door-frost-free-refrigerator-with-convertible-5-in-1-twin-cooling-plus-wi-fi-enabled-power-cool-power-freeze-rt80f51c2f-black-doi,https://vsprod.vijaysales.com/media/catalog/product/2/4/240008_1_.jpg,4,30.94,Large Appliances,Double Door,467,2,"RT80F51C2F, Black Doi"
2026-02-03,2026-02-03 12:16:03,refrigerator,251734,Godrej,28490,43090,Available,https://www.vijaysales.com/p/251734/godrej-eon-crystal-272-l-2-star-frost-free-double-door-refrigerator-advanced-inverter-technology-nano-shield-cool-balance-rteoncrystal310bnriob-onyx-black,https://vsprod.vijaysales.com/media/catalog/product/2/5/251734_1_.jpg,5,33.88,Large Appliances,Double Door,272,2,"RTEONCRYSTAL310BNRIOB, Onyx Black"
2026-02-03,2026-02-03 12:16:03,refrigerator,251732,Godrej,39490,39490,Available,https://www.vijaysales.com/p/251732/godrej-272-l-2-star-frost-free-double-door-refrigerator-nano-shield-technology-cool-balance-farm-freshness-up-to-30-days-rteonvalor310bnrifsst-fossil-steel,https://vsprod.vijaysales.com/media/catalog/product/2/5/251732_5_.jpg,5,0.0,Large Appliances,Double Door,272,2,"RTEONVALOR310BNRIFSST, Fossil Steel"
2026-02-03,2026-02-03 12:16:03,refrigerator,251690,Electrolux,70990,106990,Available,https://www.vijaysales.com/p/251690/electrolux-600-series-565-l-4-star-frost-free-french-door-refrigerator-inverter-compressor-touch-control-quickfreeze-xl-door-bins-ehe5600d-sdin,https://vsprod.vijaysales.com/media/catalog/product/2/5/251690_1_.jpg,4,33.65,Large Appliances,Side By Side,565,4,EHE5600D-SDIN
2026-02-03,2026-02-03 12:16:03,refrigerator,249513,Godrej,18990,29990,Unavailable,https://www.vijaysales.com/p/249513/godrej-194-l-5-star-direct-cool-single-door-refrigerator-inverter-compressor-turbo-cooling-anti-bacterial-gasket-rde-impress215etdiemdbm-midnight-bloom,https://vsprod.vijaysales.com/media/catalog/product/2/4/249513_7_.jpg,5,36.68,Large Appliances,Single Door,194,5,"RDE-IMPRESS215ETDIEMDBM, Midnight Bloom"
2026-02-03,2026-02-03 12:16:03,refrigerator,249460,Electrolux,94990,142990,Available,https://www.vijaysales.com/p/249460/electrolux-600-series-4-star-frost-free-french-door-refrigerator-547-l-inverter-compressor-frost-free-touch-control-greenzone-crisper-eqe5400dbnin-charcoal-black,https://vsprod.vijaysales.com/media/catalog/product/2/4/249460_1_.jpg,4,33.57,Large Appliances,Side By Side,547,4,"EQE5400DBNIN, Charcoal Black"
