scrape_date,scrape_timestamp,category,product_id,brand,price,mrp,availability,product_url,image_url,rating,discount,main_category,sub_category,screen_size,resolution
2026-02-02,2026-02-02 10:51:36,television,230919,Sony,51400,78900,Unavailable,https://www.vijaysales.com/p/230919/sony-ultra-hd-4k-tv-49-5-inch-126-cm-with-dolby-audio-auto-genre-picture-mode-k50s25-black,https://vsprod.vijaysales.com/media/catalog/product/2/3/230919-image.jpg,4,34.85,Television and Entertainment,4K Ultra HD,50,4K UHD
2026-02-02,2026-02-02 10:51:36,television,230874,Sony,190990,275900,Available,https://www.vijaysales.com/p/P230873/230874/sony-bravia-7-164-cm-65-inches-mini-led-qled-4k-hdr-google-tv-with-dolby-vision-hdr-features-for-playstation-5-k65xr70-2024-model-edition,https://vsprod.vijaysales.com/media/catalog/product/2/3/230874-image1.jpg,4,30.78,Television and Entertainment,4K Ultra HD,65,4K UHD
2026-02-02,2026-02-02 10:51:36,television,230639,Haier,44290,90990,Unavailable,https://www.vijaysales.com/p/P230638/230639/haier-55-inch-140-cm-4k-uhd-qled-smart-google-tv-with-bezel-less-design-dolby-atmos-google-assistant-55q6,https://vsprod.vijaysales.com/media/catalog/product/2/3/230639-image1.jpg,5,51.32,Television and Entertainment,4K Ultra HD,55,4K UHD
2026-02-02,2026-02-02 10:51:36,television,230638,Haier,30390,63990,Unavailable,https://www.vijaysales.com/p/P230638/230638/haier-43-inch-108-cm-4k-uhd-qled-smart-google-tv-with-bezel-less-design-dolby-atmos-google-assistant-43q6,https://vsprod.vijaysales.com/media/catalog/product/2/3/230638-image1.jpg,4,52.51,Television and Entertainment,4K Ultra HD,43,4K UHD
2026-02-02,2026-02-02 10:51:36,television,230635,Haier,24990,33490,Available,https://www.vijaysales.com/p/230635/haier-108-cm-43-inch-4k-uhd-led-smart-google-tv-with-bezel-less-design-google-assistant-le43a900ug,https://vsprod.vijaysales.com/media/catalog/product/2/3/230635-image1.jpg,4,25.38,Television and Entertainment,4K Ultra HD,43,4K UHD
2026-02-02,2026-02-02 10:51:36,television,230634,Haier,13990,21700,Unavailable,https://www.vijaysales.com/p/230634/haier-80-cm-32-inch-hd-ready-led-smart-google-tv-with-bezel-less-design-google-assistant-le32a9000g,https://vsprod.vijaysales.com/media/catalog/product/2/3/230634-image1.jpg,5,35.53,Television and Entertainment,HD Ready,32,HD Ready
2026-02-02,2026-02-02 10:51:36,television,230631,Sansui,72490,152890,Unavailable,https://www.vijaysales.com/p/P234913/230631/sansui-75-inch-190-cm-4k-ultra-hd-qled-smart-google-tv-dolby-vision-atmos-google-assistant-zen-panel-2-years-panel-warranty-jsw75gsqled,https://vsprod.vijaysales.com/media/catalog/product/2/3/230631-image.jpg,4,52.59,Television and Entertainment,4K Ultra HD,75,4K UHD
2026-02-02,2026-02-02 10:51:36,television,224712,Haier,64990,120490,Available,https://www.vijaysales.com/p/224712/haier-165-cm-65-inches-qled-4k-ultra-hd-smart-google-tv-with-dolby-vision-hdr10-dolby-atmos-built-in-chromecast-voice-remote-65s800qt-p,https://vsprod.vijaysales.com/media/catalog/product/2/2/224712_5_.jpg,4,46.06,Television and Entertainment,4K Ultra HD,65,4K UHD
2026-02-02,2026-02-02 10:51:36,television,224187,Sansui,254990,449890,Available,https://www.vijaysales.com/p/224187/sansui-254-cm-100-inches-4k-ultra-hd-qled-smart-google-tv-with-dolby-atmos-dolby-vision-hdr10-game-mode-jsw100gsqledff,https://vsprod.vijaysales.com/media/catalog/product/2/2/224187-image1.jpg,5,43.32,Television and Entertainment,4K Ultra HD,0,4K UHD
2026-02-02,2026-02-02 10:51:36,television,223128,Sansui,44490,63890,Available,https://www.vijaysales.com/p/223128/sansui-165cm-65-inch-4k-ultra-hd-led-google-tv-hdr10-hlg-dolby-vision-4k-upscaling-dolby-atmos-screen-sharing-google-assistant-far-field-voice-control-jsw65gsuhdff,https://vsprod.vijaysales.com/media/catalog/product/j/s/jsw65gsuhdff_1.jpg,4,30.36,Television and Entertainment,4K Ultra HD,65,4K UHD
2026-02-02,2026-02-02 10:51:36,television,220339,Sansui,47990,87190,Unavailable,https://www.vijaysales.com/p/P220339/220339/sansui-4k-uhd-led-70-inch-177cm-with-arm-ca53-processor-google-tv-operating-system-dolby-atmos-sound-technology-black-jsw70gsuhdff,https://vsprod.vijaysales.com/media/catalog/product/2/2/220339-image1_2.jpg,4,44.96,Television and Entertainment,4K Ultra HD,70,4K UHD
2026-02-02,2026-02-02 10:51:36,television,219014,Panasonic,46990,66990,Unavailable,https://www.vijaysales.com/p/219014/panasonic-139-cm-55-inches-4k-ultra-hd-smart-android-led-tv-with-dolby-audio-google-assistant-alexa-google-tv-th-55mx740dx,https://vsprod.vijaysales.com/media/catalog/product/2/1/219014-image1_1.jpg,4,29.86,Television and Entertainment,4K Ultra HD,55,4K UHD
2026-02-02,2026-02-02 10:51:36,television,206979,Sansui,34990,53990,Unavailable,https://www.vijaysales.com/p/P234913/206979/sansui-ultra-hd-4k-smart-qled-55-inch-140cm-jsw55gsqled-2022-model-edition,https://vsprod.vijaysales.com/media/catalog/product/2/0/206979.jpg,4,35.19,Television and Entertainment,4K Ultra HD,55,4K UHD
2026-02-02,2026-02-02 10:51:36,television,243937,LLOYD,23490,45900,Available,https://www.vijaysales.com/p/243937/llyod-108cm-43-inch-4k-ultra-hd-led-smart-webos-tv-a-grade-panel-hdr-immersive-sound-screen-sharing-gl43u5g2ef,https://vsprod.vijaysales.com/media/catalog/product/2/3/239861_1_1_1.jpg,4,48.82,Television and Entertainment,4K Ultra HD,43,4K UHD
2026-02-02,2026-02-02 10:51:36,television,243476,LLOYD,50990,147900,Available,https://www.vijaysales.com/p/243476/llyod-139cm-55-inch-4k-ultra-hd-mini-led-smart-webos-tv-4k-upscaling-hdr-10-2-1-channel-inbuilt-woofer-screen-sharing-gl55u4p2xa,https://vsprod.vijaysales.com/media/catalog/product/2/4/243476_1_.jpg,4,65.52,Television and Entertainment,4K Ultra HD,55,4K UHD
2026-02-02,2026-02-02 10:51:36,television,242428,LG,134990,239990,Available,https://www.vijaysales.com/p/242428/lg-qned-8ca-189cm-75-inch-4k-ultra-hd-smart-tv-webos-25-a7-ai-processor-4k-gen8-hdr10-hlg-filmmaker-mode-ai-chatbot-hgig-dolby-atmos-google-cast-75qned8ca6a,https://vsprod.vijaysales.com/media/catalog/product/2/4/242428_2_.jpg,4,43.75,Television and Entertainment,4K Ultra HD,75,4K UHD
2026-02-02,2026-02-02 10:51:36,television,242427,LG,248990,399990,Unavailable,https://www.vijaysales.com/p/242427/lg-qned-8ca-217cm-86-inch-4k-ultra-hd-smart-tv-webos-25-a7-ai-processor-4k-gen8-hdr10-hlg-filmmaker-mode-ai-chatbot-hgig-dolby-atmos-google-cast-86qned8ca6a-2025,https://vsprod.vijaysales.com/media/catalog/product/2/4/242427_2_.jpg,5,37.75,Television and Entertainment,4K Ultra HD,86,4K UHD
2026-02-02,2026-02-02 10:51:36,television,242403,LLOYD,14490,24490,Available,https://www.vijaysales.com/p/242403/llyod-80cm-32-inch-hd-qled-smart-webos-tv-a-grade-panel-hdr-10-dolby-audio-screen-sharing-gl32h4a3bd,https://vsprod.vijaysales.com/media/catalog/product/2/4/242403_1_.jpg,4,40.83,Television and Entertainment,HD,32,QLED
2026-02-02,2026-02-02 10:51:36,television,242269,LG,38490,71990,Unavailable,https://www.vijaysales.com/p/P242268/242269/lg-139cm-55-inch-4k-ultra-hd-ai-tv-webos-23-a5-ai-processor-4k-gen6-with-ai-brightness-4k-upscaling-hdr10-hlg-allm-hgig-ai-sound-55ur75006lc-2025,https://vsprod.vijaysales.com/media/catalog/product/2/4/242269_1.jpg,4,46.53,Television and Entertainment,4K Ultra HD,55,4K UHD
2026-02-02,2026-02-02 10:51:36,television,242268,LG,28990,49990,Unavailable,https://www.vijaysales.com/p/P242268/242268/lg-108-cm-43-inch-4k-ultra-hd-ai-tv-webos-23-a5-ai-processor-4k-gen6-with-ai-brightness-4k-upscaling-hdr10-hlg-allm-hgig-ai-sound-43ur75006lc-2025,https://vsprod.vijaysales.com/media/catalog/product/2/4/242268_1.jpg,5,42.01,Television and Entertainment,4K Ultra HD,43,4K UHD
2026-02-02,2026-02-02 10:51:36,television,240949,LG,394990,543990,Available,https://www.vijaysales.com/p/240949/lg-oled-evo-c5-195cm-77-inch-4k-ultra-hd-ai-tv-webos-25-a9-ai-processor-4k-gen8-dolby-vision-filmmaker-mode-dolby-atmos-freesync-amd-g-sync-nvidia-a9-ai-sound-pro-google-cast-oled77c56la-2025,https://vsprod.vijaysales.com/media/catalog/product/2/4/240949_1_.jpg,4,27.39,Television and Entertainment,4K Ultra HD,77,4K UHD
